institute,client,date,CDU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,state,CSU,FW,PIRATEN,NPD,SSW,method,timeframe
InfratestPolitik-forschung,SPD-Landesverband,01.04.2010,21.0,34.0,8.0,5.0,28.0,,4.0,brandenburg,,,,,,T,1.00015.03.–24.03.
Infratestdimap,"RBB, MärkischeAllgemeine",10.02.2010,22.0,31.0,8.0,6.0,27.0,,6.0,brandenburg,,,,,,T,1.00204.02.–08.02.
Infratestdimap,"RBB, Antenne Brandenburg",09.04.2019,20.0,22.0,12.0,5.0,16.0,19.0,6.0,brandenburg,,,,,,T,1.00002.04.–06.04.
pmg – policymatters,SPD-LV,10.01.2019,21.0,23.0,10.0,3.0,18.0,21.0,4.0,brandenburg,,,,,,T,1.00619.11.–06.12.
Forsa,MärkischeAllgemeine,01.01.2019,19.0,20.0,12.0,5.0,17.0,20.0,7.0,brandenburg,,,,,,T,1.00517.12.–20.12.
Infratestdimap,"RBB, Antenne Brandenburg",19.09.2018,21.0,23.0,7.0,5.0,17.0,23.0,4.0,brandenburg,,,,,,T,1.00012.09.–17.09.
Infratestdimap,"RBB, Antenne Brandenburg",18.04.2018,23.0,23.0,7.0,4.0,17.0,22.0,4.0,brandenburg,,,,,,T,1.00011.04.–16.04.
Infratestdimap,RBB,14.11.2017,22.0,23.0,6.0,7.0,17.0,20.0,5.0,brandenburg,,,,,,T,1.00507.11.–11.11.
Infratestdimap,Radio Bremen,07.05.2019,26.0,25.0,18.0,6.0,12.0,8.0,5.0,bremen,,,,,,T,1.00025.04.–02.05.
Infratestdimap,Weser-Kurier,07.02.2019,25.0,24.0,18.0,6.0,13.0,8.0,6.0,bremen,,,,,,T,1.00024.01.–30.01.
FGWTelefonfeld*,CDU-LV,10.09.2018,26.0,26.0,20.0,7.0,12.0,6.0,3.0,bremen,,,,,,T,1.01520.08.–23.08.
pollytix,SPD-Landes-organisation,03.08.2018,24.0,28.0,14.0,10.0,14.0,8.0,2.0,bremen,,,,,,T,1.00022.06.–02.07.
INSA,BILD,28.05.2018,24.0,22.0,14.0,9.0,17.0,10.0,4.0,bremen,,,,,,T,1.00314.05.–18.05.
Infratestdimap,Weser-Kurier,01.05.2018,24.0,26.0,14.0,7.0,15.0,9.0,5.0,bremen,,,,,,T,1.00213.04.–18.04.
Infratestdimap,Radio Bremen,19.01.2017,24.0,29.0,13.0,8.0,11.0,11.0,4.0,bremen,,,,,,T,1.00309.01.–14.01.
Infratestdimap,Weser-Kurier,10.05.2016,22.0,29.0,16.0,7.0,10.0,11.0,5.0,bremen,,,,,,T,1.00026.04.–02.05.
FGWTelefonfeld*,CDU-LV,26.06.2014,28.0,40.0,16.0,,8.0,3.0,5.0,bremen,,,,,,T,1.00231.03.–09.04.
pmg – policymatters,Körber-Stiftung,25.06.2020,13.0,39.0,23.0,5.0,10.0,6.0,4.0,hamburg,,,,,,O,1.02002.06.–11.06.
Forschungs-gruppe Wahlen,ZDF,20.02.2020,12.0,39.0,24.0,5.0,8.5,6.0,5.5,hamburg,,,,,,T,1.18419.02.–20.02.
UniversitätHamburg,UniversitätHamburg,19.02.2020,12.0,34.0,32.0,6.0,7.0,5.0,5.0,hamburg,,,,,,T,1.00402.01.–14.02.
INSA,BILD,18.02.2020,13.0,38.0,23.0,5.0,8.0,7.0,6.0,hamburg,,,,,,TOM,1.00612.02.–17.02.
Forschungs-gruppe Wahlen,ZDF,14.02.2020,13.0,37.0,25.0,4.5,8.0,7.0,5.5,hamburg,,,,,,T,1.12811.02.–13.02.
Infratestdimap,ARD,13.02.2020,14.0,38.0,23.0,5.0,8.0,6.0,6.0,hamburg,,,,,,T,1.00310.02.–12.02.
Trend ResearchHamburg,Radio Hamburg,10.02.2020,14.0,33.0,24.0,7.0,10.0,7.0,5.0,hamburg,,,,,,O,67524.01.–29.01.
Infratestdimap,NDR,06.02.2020,14.0,34.0,27.0,5.0,8.0,7.0,5.0,hamburg,,,,,,T,1.00030.01.–04.02.
Infratestdimap,NDR,23.01.2020,16.0,32.0,27.0,6.0,8.0,7.0,4.0,hamburg,,,,,,T,1.00216.01.–21.01.
Infratestdimap,NDR,09.01.2020,15.0,29.0,29.0,7.0,9.0,7.0,4.0,hamburg,,,,,,T,1.00002.01.–07.01.
Trend ResearchHamburg,Radio Hamburg,09.01.2020,13.0,32.0,23.0,8.0,13.0,8.0,4.0,hamburg,,,,,,O,67827.12.–31.12.
Forsa,HamburgerAbendblatt,06.01.2020,16.0,29.0,26.0,7.0,10.0,7.0,5.0,hamburg,,,,,,T,1.00918.12.–02.01.
Infratestdimap,NDR,17.12.2019,17.0,28.0,26.0,6.0,11.0,7.0,5.0,hamburg,,,,,,T,1.00411.12.–16.12.
Trend ResearchHamburg,Radio Hamburg,18.11.2019,13.0,32.0,23.0,7.0,12.0,8.0,4.0,hamburg,,,,,,O,65205.11.–10.11.
INSA,BILD,12.11.2019,17.0,25.0,26.0,8.0,12.0,8.0,4.0,hamburg,,,,,,TOM,1.02023.10.–04.11.
Trend ResearchHamburg,HamburgZwei,17.09.2019,14.0,28.0,28.0,6.0,11.0,9.0,4.0,hamburg,,,,,,O,61806.09.–11.09.
pmg – policymatters,"DIE ZEIT,Körber-Stiftung",29.05.2019,16.0,30.0,22.0,9.0,11.0,10.0,2.0,hamburg,,,,,,O,1.00206.05.–16.05.
UniversitätHamburg,UniversitätHamburg,20.03.2019,15.0,35.0,29.0,6.0,9.0,4.0,3.0,hamburg,,,,,,T,1.06906.01.–02.03.
Infratestdimap,NDR,25.02.2019,17.0,31.0,22.0,8.0,10.0,8.0,4.0,hamburg,,,,,,T,1.00518.02.–21.02.
Forsa,HamburgerAbendblatt,07.01.2019,14.0,30.0,24.0,9.0,11.0,7.0,5.0,hamburg,,,,,,T,1.00427.12.–03.01.
Forsa,"DIE WELT,BILD",16.04.2018,16.0,36.0,18.0,7.0,12.0,7.0,4.0,hamburg,,,,,,T,1.00119.03.–04.04.
pmg – policymatters,DIE ZEIT,07.03.2018,22.0,28.0,15.0,8.0,14.0,10.0,3.0,hamburg,,,,,,O,1.02523.02.–02.03.
UniversitätHamburg,UniversitätHamburg,24.11.2016,18.0,48.0,16.0,5.0,8.0,4.0,2.0,hamburg,,,,,,T,1.00408.09.–17.11.
Infratestdimap,NDR,07.04.2016,18.0,39.0,15.0,6.0,11.0,8.0,3.0,hamburg,,,,,,T,1.00031.03.–05.04.
Trend ResearchHamburg,Radio Hamburg,21.01.2016,14.0,37.0,13.0,8.0,10.0,13.0,5.0,hamburg,,,,,,O,75914.01.–18.01.
Forschungs-gruppe Wahlen,ZDF,12.02.2015,17.0,47.0,12.0,6.0,8.5,5.0,4.5,hamburg,,,,,,T,1.11311.02.–12.02.
Forschungs-gruppe Wahlen,ZDF,06.02.2015,19.0,45.0,11.0,6.0,9.5,5.0,4.5,hamburg,,,,,,T,1.17603.02.–05.02.
Infratestdimap,ARD,05.02.2015,18.0,46.0,11.0,5.5,9.0,5.5,5.0,hamburg,,,,,,T,1.00103.02.–04.02.
Infratestdimap,NDR,29.01.2015,20.0,44.0,13.0,5.0,9.0,6.0,3.0,hamburg,,,,,,T,1.00023.01.–27.01.
UniversitätHamburg,UniversitätHamburg,10.02.2015,22.6,44.6,14.9,2.8,9.1,2.9,3.2,hamburg,,,,,,T,23505.01.–21.01.
INSA,BILD,14.01.2015,23.0,42.0,14.0,4.0,7.0,6.0,4.0,hamburg,,,,,,T,1.00007.01.–13.01.
Infratestdimap,NDR,14.01.2015,22.0,43.0,14.0,4.0,8.0,5.0,4.0,hamburg,,,,,,T,1.00009.01.–12.01.
UniversitätHamburg,UniversitätHamburg,10.02.2015,20.6,39.7,21.8,2.8,8.9,3.2,3.0,hamburg,,,,,,T,51105.11.–23.12.
Infratestdimap,NDR,11.12.2014,24.0,43.0,14.0,2.0,9.0,4.0,4.0,hamburg,,,,,,T,1.00505.12.–09.12.
GESSPhone & Field,"HamburgerAbendblatt, WELT",08.11.2014,27.0,45.0,11.0,2.0,7.0,4.0,4.0,hamburg,,,,,,T,1.00224.10.–03.11.
mafo.de,HamburgerMorgenpost,09.05.2014,22.6,38.5,13.7,2.9,7.8,5.8,8.7,hamburg,,,,,,O,500??.0?.–??.0?.
GESSPhone & Field,"HamburgerAbendblatt, WELT",15.02.2014,24.0,48.0,11.0,3.0,8.0,,,hamburg,,,,,,T,1.00327.01.–04.02.
Infratestdimap,NDR,15.01.2014,25.0,42.0,13.0,5.0,9.0,3.0,3.0,hamburg,,,,,,T,1.00009.01.–13.01.
UniversitätHamburg,UniversitätHamburg,26.06.2013,21.0,43.0,18.0,4.0,8.0,,2.0,hamburg,,,4.0,,,T,63608.05.–24.06.
GESSPhone & Field,HamburgerAbendblatt,09.02.2013,23.0,51.0,13.0,2.0,4.0,,5.0,hamburg,,,2.0,,,T,1.00329.01.–04.02.
GESSPhone & Field,HamburgerAbendblatt,19.02.2012,21.0,52.0,12.0,2.0,6.0,,,hamburg,,,4.0,,,T,1.00607.02.–14.02.
Infratestdimap,NDR,19.01.2012,20.0,51.0,14.0,3.0,4.0,,3.0,hamburg,,,5.0,,,T,1.00013.01.–18.01.
YouGov,HamburgerMorgenpost,07.12.2011,21.0,44.0,13.0,3.0,7.0,,3.0,hamburg,,,9.0,,,O,1.03121.11.–02.12.
Psephos,HamburgerAbendblatt,13.06.2011,20.0,47.0,14.0,7.0,7.0,,5.0,hamburg,,,,,,T,1.00301.06.–09.06.
Infratestdimap,SWR,10.03.2022,26.0,34.0,11.0,9.0,,7.0,8.0,rheinland-pfalz,,5.0,,,,TOM,1.15804.03.–08.03.
Infratestdimap,SWR,25.11.2021,21.0,34.0,12.0,11.0,,8.0,8.0,rheinland-pfalz,,6.0,,,,TOM,1.17219.11.–23.11.
Infratestdimap,SWR,09.09.2021,23.0,40.0,9.0,6.0,3.0,8.0,6.0,rheinland-pfalz,,5.0,,,,TOM,1.16002.09.–07.09.
Infratestdimap,SWR,15.07.2021,24.0,38.0,9.0,6.0,3.0,8.0,6.0,rheinland-pfalz,,6.0,,,,TOM,1.15309.07.–13.07.
INSA,BILD,12.03.2021,29.0,32.0,10.0,7.0,3.0,10.0,5.0,rheinland-pfalz,,4.0,,,,TOM,1.35411.03.–12.03.
Forschungs-gruppe Wahlen,ZDF,11.03.2021,29.0,33.0,10.0,6.5,3.0,9.0,4.5,rheinland-pfalz,,5.0,,,,T,1.73508.03.–11.03.
INSA,BILD,09.03.2021,30.0,30.0,12.0,6.0,3.0,10.0,5.0,rheinland-pfalz,,4.0,,,,TOM,1.50101.03.–08.03.
Forschungs-gruppe Wahlen,ZDF,05.03.2021,29.0,33.0,11.0,7.0,3.0,9.0,4.0,rheinland-pfalz,,4.0,,,,T,99801.03.–04.03.
Infratestdimap,ARD,04.03.2021,28.0,30.0,12.0,9.0,3.0,9.0,4.0,rheinland-pfalz,,5.0,,,,TOM,1.18601.03.–03.03.
Infratestdimap,SWR,25.02.2021,31.0,30.0,12.0,7.0,3.0,9.0,4.0,rheinland-pfalz,,4.0,,,,T,1.00019.02.–23.02.
INSA,BILD,23.02.2021,33.0,31.0,12.0,6.0,3.0,9.0,3.0,rheinland-pfalz,,3.0,,,,TOM,1.30415.02.–22.02.
Forschungs-gruppe Wahlen,ZDF,05.02.2021,33.0,31.0,13.0,5.0,4.0,7.0,7.0,rheinland-pfalz,,,,,,T,1.02201.02.–04.02.
INSA,BILD,23.01.2021,33.0,30.0,14.0,6.0,3.0,9.0,2.0,rheinland-pfalz,,3.0,,,,TOM,1.00613.01.–19.01.
Infratestdimap,SWR,14.01.2021,33.0,28.0,15.0,6.0,3.0,8.0,7.0,rheinland-pfalz,,,,,,T,1.00108.01.–12.01.
Infratestdimap,SWR,10.12.2020,34.0,28.0,15.0,5.0,3.0,9.0,6.0,rheinland-pfalz,,,,,,T,1.00204.12.–08.12.
INSA,BILD,21.10.2020,33.0,27.0,14.0,5.0,5.0,10.0,3.0,rheinland-pfalz,,3.0,,,,TOM,1.01313.10.–20.10.
Infratestdimap,SWR,10.09.2020,34.0,26.0,17.0,6.0,4.0,9.0,4.0,rheinland-pfalz,,,,,,T,1.00504.09.–08.09.
Infratestdimap,SWR,23.04.2020,38.0,27.0,13.0,6.0,4.0,8.0,4.0,rheinland-pfalz,,,,,,T,1.00320.04.–21.04.
INSA,BILD,15.04.2020,30.0,24.0,19.0,5.0,5.0,12.0,5.0,rheinland-pfalz,,,,,,TOM,1.04516.03.–30.03.
Infratestdimap,SWR,05.03.2020,27.0,26.0,18.0,7.0,6.0,11.0,5.0,rheinland-pfalz,,,,,,T,1.00127.02.–03.03.
Infratestdimap,SWR,12.12.2019,30.0,26.0,16.0,7.0,4.0,13.0,4.0,rheinland-pfalz,,,,,,T,1.00205.12.–10.12.
INSA,BILD,18.09.2019,28.0,22.0,20.0,8.0,4.0,12.0,3.0,rheinland-pfalz,,3.0,,,,TOM,1.01209.09.–16.09.
Infratestdimap,SWR,12.09.2019,28.0,23.0,21.0,8.0,4.0,11.0,5.0,rheinland-pfalz,,,,,,T,1.00105.09.–09.09.
Infratestdimap,SWR,21.03.2019,31.0,24.0,14.0,10.0,6.0,11.0,4.0,rheinland-pfalz,,,,,,T,1.00014.03.–18.03.
Forsa,RTL/n-tv,11.02.2019,31.0,26.0,14.0,8.0,5.0,10.0,6.0,rheinland-pfalz,,,,,,T,1.00501.02.–08.02.
Infratestdimap,SWR,13.12.2018,31.0,24.0,16.0,7.0,4.0,13.0,5.0,rheinland-pfalz,,,,,,T,1.00110.12.–11.12.
Infratestdimap,SWR,18.10.2018,28.0,24.0,18.0,8.0,5.0,13.0,4.0,rheinland-pfalz,,,,,,T,1.00311.10.–15.10.
Infratestdimap,SWR,21.06.2018,31.0,29.0,11.0,7.0,5.0,13.0,4.0,rheinland-pfalz,,,,,,T,1.00414.06.–18.06.
Infratestdimap,SWR,08.03.2018,33.0,37.0,8.0,7.0,3.0,8.0,4.0,rheinland-pfalz,,,,,,T,1.00105.03.–07.03.
INSA,BILD,10.01.2018,34.0,33.0,7.0,7.0,5.0,10.0,4.0,rheinland-pfalz,,,,,,TOM,1.51702.01.–08.01.
Infratestdimap,SWR,14.12.2017,37.0,38.0,7.0,6.0,3.0,6.0,3.0,rheinland-pfalz,,,,,,T,1.00308.12.–12.12.
Infratestdimap,SWR,14.09.2017,36.0,36.0,6.0,6.0,4.0,8.0,4.0,rheinland-pfalz,,,,,,T,1.00107.09.–11.09.
GESSPhone & Field,Rheinpfalz,19.07.2017,37.0,33.0,7.0,6.0,3.0,8.0,4.0,rheinland-pfalz,,2.0,,,,T,1.00206.07.–17.07.
Infratestdimap,SWR,22.06.2017,37.0,32.0,7.0,7.0,5.0,8.0,4.0,rheinland-pfalz,,,,,,T,1.00014.06.–19.06.
Infratestdimap,SWR,09.03.2017,35.0,40.0,6.0,6.0,3.0,7.0,3.0,rheinland-pfalz,,,,,,T,1.00102.03.–06.03.
GESSPhone & Field,Rheinpfalz,23.12.2016,36.0,34.0,5.0,5.0,3.0,11.0,4.0,rheinland-pfalz,,2.0,,,,T,1.00209.12.–19.12.
Infratestdimap,SWR,15.12.2016,36.0,32.0,9.0,5.0,4.0,10.0,4.0,rheinland-pfalz,,,,,,T,1.00008.12.–12.12.
Infratestdimap,SWR,14.07.2016,33.0,33.0,7.0,8.0,4.0,10.0,5.0,rheinland-pfalz,,,,,,T,1.00408.07.–12.07.
GESSPhone & Field,Rheinpfalz,22.06.2016,31.0,36.0,6.0,6.0,3.0,12.0,3.0,rheinland-pfalz,,3.0,,,,T,1.00413.06.–20.06.
Infratestdimap,HessischerRundfunk,04.03.2022,27.0,24.0,20.0,9.0,5.0,7.0,8.0,hessen,,,,,,TOM,1.16928.02.–02.03.
Infratestdimap,HessischerRundfunk,25.02.2021,32.0,17.0,21.0,7.0,6.0,10.0,7.0,hessen,,,,,,T,1.00118.02.–23.02.
Infratestdimap,HessischerRundfunk,09.12.2020,34.0,19.0,22.0,7.0,5.0,8.0,5.0,hessen,,,,,,T,1.00301.12.–07.12.
INSA,BILD,03.11.2020,30.0,18.0,19.0,6.0,9.0,11.0,7.0,hessen,,,,,,O,1.01822.10.–29.10.
Infratestdimap,HessischerRundfunk,14.05.2020,36.0,18.0,20.0,7.0,4.0,10.0,5.0,hessen,,,,,,T,1.00512.05.–13.05.
Infratestdimap,HessischerRundfunk,17.02.2020,26.0,16.0,25.0,7.0,8.0,12.0,6.0,hessen,,,,,,T,1.00007.02.–13.02.
Infratestdimap,HessischerRundfunk,26.04.2019,27.0,19.0,21.0,9.0,6.0,13.0,5.0,hessen,,,,,,T,1.00116.04.–24.04.
ForschungsgruppeWahlen,ZDF,25.10.2018,28.0,20.0,20.0,8.0,8.0,12.0,4.0,hessen,,,,,,T,1.02524.10.–25.10.
Infratestdimap,ARD,18.10.2018,26.0,21.0,20.0,9.0,8.0,12.0,4.0,hessen,,,,,,T,1.00216.10.–17.10.
ForschungsgruppeWahlen,ZDF,18.10.2018,26.0,20.0,22.0,8.0,8.0,12.0,4.0,hessen,,,,,,T,1.03515.10.–17.10.
ForschungsgruppeWahlen,"FAZ, FFH",03.10.2018,29.0,23.0,18.0,6.0,8.0,13.0,3.0,hessen,,,,,,T,1.03824.09.–01.10.
Infratestdimap,HessischerRundfunk,24.09.2018,28.0,23.0,17.0,7.0,8.0,14.0,3.0,hessen,,,,,,T,1.00013.09.–19.09.
ForschungsgruppeWahlen,ZDF,21.09.2018,32.0,25.0,15.0,6.0,8.0,11.0,3.0,hessen,,,,,,T,1.03917.09.–19.09.
Infratestdimap,HessischerRundfunk,21.06.2018,31.0,22.0,14.0,7.0,7.0,15.0,4.0,hessen,,,,,,T,1.00314.06.–19.06.
ForschungsgruppeWahlen,"FAZ, FFH",12.06.2018,31.0,25.0,13.0,8.0,8.0,11.0,4.0,hessen,,,,,,T,1.04904.06.–11.06.
INSA,BILD,17.05.2018,33.0,24.0,13.0,7.0,8.0,11.0,4.0,hessen,,,,,,TOM,1.06709.05.–16.05.
ForschungsgruppeWahlen,"FAZ, FFH",22.03.2018,31.0,26.0,13.0,7.0,8.0,10.0,5.0,hessen,,,,,,T,1.01119.03.–21.03.
Allensbach,FDP-LV,02.03.2018,31.0,26.0,12.0,9.0,7.0,11.0,,hessen,,,,,,F,76019.12.–31.01.
Forsa,RTL/n-tv,25.02.2018,33.0,23.0,14.0,8.0,7.0,10.0,5.0,hessen,,,,,,T,1.03508.02.–22.02.
Infratestdimap,HessischerRundfunk,19.01.2018,31.0,25.0,13.0,8.0,8.0,12.0,3.0,hessen,,,,,,T,1.00609.01.–16.01.
Infratestdimap,HessischerRundfunk,12.01.2017,32.0,24.0,14.0,6.0,8.0,14.0,2.0,hessen,,,,,,T,1.00305.01.–10.01.
dimap,CDU LVHessen,24.08.2016,36.0,27.0,13.0,4.0,6.0,9.0,5.0,hessen,,,,,,T,1.00015.08.–22.08.
Forsa,FrankfurterNeue Presse,18.04.2016,33.0,27.0,11.0,7.0,6.0,10.0,6.0,hessen,,,,,,T,1.00401.04.–08.04.
Infratestdimap,HessischerRundfunk,20.01.2016,34.0,26.0,11.0,5.0,8.0,12.0,4.0,hessen,,,,,,T,1.00012.01.–16.01.
Forsa,"stern, FrankfurterNeue Presse",02.09.2015,38.0,28.0,13.0,5.0,5.0,4.0,7.0,hessen,,,,,,T,1.00917.08.–26.08.
dimap,CDU LVHessen,20.07.2015,41.0,27.0,14.0,6.0,6.0,2.0,4.0,hessen,,,,,,T,1.00306.07.–13.07.
dimap,CDU LVHessen,16.12.2014,38.0,27.0,16.0,2.0,7.0,5.0,5.0,hessen,,,,,,T,1.00010.12.–14.12.
Forsa,FrankfurterNeue Presse,14.03.2014,39.0,27.0,12.0,5.0,7.0,5.0,5.0,hessen,,,,,,T,1.00218.02.–27.02.
INSA,Nordkurier,29.04.2022,16.0,35.0,6.0,6.0,11.0,18.0,8.0,mecklenburg-vorpommern,,,,,,TOM,1.01825.04.–28.04.
Forsa,Ostsee-Zeitung,24.03.2022,16.0,34.0,7.0,5.0,12.0,16.0,10.0,mecklenburg-vorpommern,,,,,,T,1.00114.03.–18.03.
INSA,Nordkurier,14.02.2022,16.0,36.0,6.0,6.0,11.0,17.0,8.0,mecklenburg-vorpommern,,,,,,TOM,1.00031.01.–07.02.
INSA,Cicero,24.09.2021,13.0,40.0,7.0,5.0,11.0,17.0,7.0,mecklenburg-vorpommern,,,,,,TOM,1.05820.09.–24.09.
Forschungs-gruppe Wahlen,ZDF,23.09.2021,14.0,39.0,7.0,5.5,11.0,16.0,7.5,mecklenburg-vorpommern,,,,,,T,1.01520.09.–22.09.
Infratestdimap,ARD,17.09.2021,15.0,40.0,6.0,5.0,10.0,15.0,9.0,mecklenburg-vorpommern,,,,,,TOM,1.53313.09.–15.09.
INSA,Nordkurier,17.09.2021,12.0,40.0,7.0,6.0,11.0,18.0,6.0,mecklenburg-vorpommern,,,,,,TOM,1.06410.09.–16.09.
Forschungs-gruppe Wahlen,ZDF,17.09.2021,15.0,38.0,6.0,6.0,11.0,17.0,7.0,mecklenburg-vorpommern,,,,,,T,1.02813.09.–16.09.
Infratestdimap,"NDR, OZ,SVZ",09.09.2021,14.0,39.0,6.0,7.0,10.0,17.0,7.0,mecklenburg-vorpommern,,,,,,TOM,1.15302.09.–07.09.
Infratestdimap,"NDR, OZ,SVZ",26.08.2021,15.0,36.0,6.0,8.0,11.0,17.0,7.0,mecklenburg-vorpommern,,,,,,TOM,1.15319.08.–24.08.
INSA,Nordkurier,15.08.2021,18.0,28.0,8.0,7.0,14.0,17.0,8.0,mecklenburg-vorpommern,,,,,,TOM,1.00006.08.–12.08.
INSA,Nordkurier,25.07.2021,20.0,26.0,9.0,7.0,13.0,19.0,6.0,mecklenburg-vorpommern,,,,,,TOM,1.09816.07.–22.07.
Infratestdimap,"NDR, OZ,SVZ",15.07.2021,23.0,27.0,7.0,7.0,12.0,16.0,8.0,mecklenburg-vorpommern,,,,,,TOM,1.15908.07.–13.07.
Infratestdimap,"NDR, OZ,SVZ",20.05.2021,21.0,23.0,14.0,6.0,11.0,17.0,8.0,mecklenburg-vorpommern,,,,,,TOM,1.24512.05.–18.05.
Forsa,Ostsee-Zeitung,21.01.2021,24.0,26.0,10.0,3.0,16.0,14.0,7.0,mecklenburg-vorpommern,,,,,,T,1.00212.01.–15.01.
Infratestdimap,"NDR, OZ,SVZ",25.11.2020,27.0,27.0,10.0,3.0,12.0,15.0,6.0,mecklenburg-vorpommern,,,,,,T,1.00018.11.–21.11.
Infratestdimap,NDR,09.06.2020,29.0,24.0,10.0,4.0,13.0,15.0,5.0,mecklenburg-vorpommern,,,,,,T,1.00403.06.–06.06.
Forsa,Ostsee-Zeitung,16.01.2020,20.0,19.0,13.0,5.0,14.0,19.0,10.0,mecklenburg-vorpommern,,,,,,T,1.00202.01.–10.01.
Forsa,"NDR, Ostsee-Zeitung",27.09.2019,21.0,22.0,12.0,5.0,12.0,20.0,8.0,mecklenburg-vorpommern,,,,,,T,1.00218.09.–23.09.
Forsa,Ostsee-Zeitung,17.01.2019,22.0,22.0,10.0,4.0,16.0,18.0,8.0,mecklenburg-vorpommern,,,,,,T,1.00704.01.–11.01.
Forsa,SchwerinerVolkszeitung,30.06.2018,18.0,25.0,8.0,4.0,16.0,22.0,7.0,mecklenburg-vorpommern,,,,,,T,1.00224.05.–28.06.
Forsa,Ostsee-Zeitung,18.01.2018,20.0,28.0,5.0,5.0,15.0,19.0,8.0,mecklenburg-vorpommern,,,,,,T,1.00102.01.–11.01.
INSA,Nordkurier,23.07.2017,22.0,31.5,4.5,3.5,13.5,20.5,4.5,mecklenburg-vorpommern,,,,,,T,1.60830.06.–14.07.
Forsa,Ostsee-Zeitung,19.01.2017,21.0,32.0,4.0,4.0,13.0,18.0,8.0,mecklenburg-vorpommern,,,,,,T,1.00209.01.–16.01.
Forschungs-gruppe Wahlen,ZDF,01.09.2016,22.0,28.0,6.0,3.0,13.0,22.0,6.0,mecklenburg-vorpommern,,,,,,T,1.13331.08.–01.09.
INSA,Cicero,31.08.2016,20.0,28.0,6.0,2.0,15.0,23.0,4.0,mecklenburg-vorpommern,,,,2.0,,T,1.03129.08.
Forschungs-gruppe Wahlen,ZDF,26.08.2016,22.0,28.0,6.0,,13.0,21.0,7.0,mecklenburg-vorpommern,,,,3.0,,T,1.02023.08.–25.08.
Infratestdimap,ARD,25.08.2016,22.0,27.0,5.0,3.0,14.0,21.0,5.0,mecklenburg-vorpommern,,,,3.0,,T,1.00323.08.–24.08.
Infratestdimap,"NDR, NK,OZ, SVZ",18.08.2016,23.0,26.0,6.0,3.0,16.0,19.0,4.0,mecklenburg-vorpommern,,,,3.0,,T,1.00311.08.–16.08.
INSA,BILD,12.08.2016,23.0,24.0,6.0,3.0,19.0,19.0,3.0,mecklenburg-vorpommern,,,,3.0,,T,1.00002.08.–09.08.
Infratestdimap,"NDR, NK,OZ, SVZ",30.06.2016,25.0,22.0,7.0,3.0,17.0,19.0,3.0,mecklenburg-vorpommern,,,,4.0,,T,1.00223.06.–27.06.
Infratestdimap,"NDR, NK,OZ, SVZ",28.04.2016,24.0,22.0,8.0,4.0,16.0,18.0,4.0,mecklenburg-vorpommern,,,,4.0,,T,1.00021.04.–26.04.
INSA,BILD,16.02.2016,29.0,22.0,5.0,4.0,19.0,16.0,1.0,mecklenburg-vorpommern,,,,4.0,,T,1.00203.02.–09.02.
Marktforschungs-service Dukath,Ostsee-Zeitung,21.01.2016,27.2,28.4,9.5,8.0,20.1,5.5,0.2,mecklenburg-vorpommern,,,,1.3,,T,75006.01.–13.01.
Infratestdimap,"NDR, SVZ",07.05.2014,34.0,29.0,5.0,2.0,20.0,4.0,3.0,mecklenburg-vorpommern,,,,3.0,,T,1.00102.05.–05.05.
Emnid,"SVZ,Nordkurier",14.09.2013,28.0,31.0,8.0,2.0,19.0,,7.0,mecklenburg-vorpommern,,,,5.0,,T,75006.09.–10.09.
Emnid,"SVZ,Nordkurier",17.08.2013,28.0,32.0,8.0,2.0,20.0,,5.0,mecklenburg-vorpommern,,,,5.0,,T,75009.08.–13.08.
Forsa,NI-Tages-zeitungen,03.05.2022,26.0,33.0,19.0,7.0,3.0,6.0,6.0,niedersachsen,,,,,,O,2.01219.04.–26.04
Forsa,NI-Tages-zeitungen,30.03.2022,25.0,34.0,17.0,8.0,3.0,7.0,6.0,niedersachsen,,,,,,O,2.01015.03.–22.03
INSA,BILD,23.02.2022,26.0,34.0,14.0,11.0,4.0,7.0,4.0,niedersachsen,,,,,,O,1.00014.02.–21.02.
Infratestdimap,NDR,19.11.2021,23.0,36.0,16.0,10.0,3.0,7.0,5.0,niedersachsen,,,,,,TOM,1.16011.11.–16.11.
INSA,BILD,21.10.2021,19.0,39.0,13.0,12.0,5.0,7.0,5.0,niedersachsen,,,,,,O,1.00012.10.–18.10.
Allensbach,Drei-Quellen-Mediengruppe,20.10.2021,26.0,34.0,15.0,10.0,4.0,7.0,4.0,niedersachsen,,,,,,F,>1.10006.09.–01.10.
INSA,BILD,11.05.2021,26.0,29.0,20.0,9.0,5.0,7.0,4.0,niedersachsen,,,,,,O,1.00003.05.–10.05.
INSA,BILD,30.03.2021,26.0,30.0,18.0,9.0,4.0,7.0,6.0,niedersachsen,,,,,,O,1.05222.03.–29.03.
Allensbach,Drei-Quellen-Mediengruppe,11.03.2021,33.0,27.0,20.0,5.0,5.0,6.0,4.0,niedersachsen,,,,,,F,95003.02.–03.03.
INSA,BILD,08.11.2020,34.0,27.0,18.0,6.0,5.0,6.0,4.0,niedersachsen,,,,,,TOM,1.00226.10.–02.11.
Infratestdimap,NDR,15.10.2020,35.0,27.0,20.0,4.0,5.0,6.0,3.0,niedersachsen,,,,,,T,1.00406.10.–12.10.
