institute,date,month,year,SIS,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,state,method
INSA,2019-04-25,4,2019,27.0,10.0,7.0,6.0,25.0,19.0,6.0,thueringen,TOM
Infratestdimap,2019-03-26,3,2019,28.0,11.0,8.0,5.0,24.0,20.0,4.0,thueringen,T
INSA,2019-03-26,3,2019,27.0,10.0,8.0,5.0,24.0,20.0,6.0,thueringen,TOM
INSA,2018-11-09,11,2018,23.0,12.0,12.0,6.0,22.0,22.0,3.0,thueringen,T
Infratestdimap,2018-08-28,8,2018,30.0,10.0,6.0,5.0,22.0,23.0,4.0,thueringen,T
INSA,2018-02-23,2,2018,32.0,10.0,7.0,5.0,24.0,18.0,4.0,thueringen,T
INSA,2017-10-23,10,2017,31.0,13.0,4.0,7.0,20.0,20.0,5.0,thueringen,T
INSA,2017-08-04,8,2017,37.0,11.0,4.0,5.0,22.0,18.0,3.0,thueringen,T
Infratestdimap,2017-06-22,6,2017,37.0,10.0,5.0,4.0,27.0,13.0,4.0,thueringen,T
INSA,2017-04-14,4,2017,33.0,15.0,5.0,4.0,22.0,19.0,2.0,thueringen,T
INSA,2016-12-02,12,2016,31.0,13.0,6.0,4.0,23.0,20.0,3.0,thueringen,T
Infratestdimap,2016-11-22,11,2016,32.0,12.0,6.0,3.0,23.0,21.0,3.0,thueringen,T
INSA,2016-06-22,6,2016,31.5,11.5,7.0,3.5,26.0,17.5,3.0,thueringen,T
Infratestdimap,2016-06-17,6,2016,32.0,11.0,7.0,0.0,25.0,19.0,6.0,thueringen,T
INSA,2016-04-20,4,2016,31.0,13.0,8.5,4.0,26.5,15.0,2.0,thueringen,T
INSA,2016-01-15,1,2016,33.5,14.5,7.0,0.0,27.0,13.5,4.5,thueringen,T
INSA,2015-10-16,10,2015,35.5,15.5,6.5,0.0,24.5,12.0,6.0,thueringen,T
INSA,2015-04-01,4,2015,38.0,11.0,7.0,3.0,28.0,7.0,6.0,thueringen,T
INSA,2015-02-03,2,2015,40.0,11.0,6.0,0.0,29.0,10.0,4.0,thueringen,T
FCW,2014-09-11,9,2014,36.0,16.0,5.5,0.0,26.0,8.0,8.5,thueringen,T
FCW,2014-09-04,9,2014,36.0,16.0,6.0,0.0,26.0,8.0,8.0,thueringen,T
INSA,2014-08-08,8,2014,34.0,19.0,6.0,4.0,26.0,5.0,6.0,thueringen,T
Infratestdimap,2014-03-14,3,2014,38.0,17.0,6.0,2.0,28.0,5.0,4.0,thueringen,T
INSA,2013-12-27,12,2013,35.0,18.0,7.0,2.0,27.0,5.0,0.0,thueringen,T
INSA,2013-11-09,11,2013,36.0,14.0,6.0,2.0,27.0,6.0,0.0,thueringen,T
Infratestdimap,2013-08-20,8,2013,43.0,20.0,7.0,2.0,20.0,0.0,8.0,thueringen,T
Infratestdimap,2013-07-05,7,2013,41.0,20.0,8.0,3.0,21.0,0.0,4.0,thueringen,T
Infratestdimap,2012-05-18,5,2012,35.0,24.0,6.0,2.0,23.0,0.0,4.0,thueringen,T
Infratestdimap,2010-05-05,5,2010,32.0,21.0,6.0,5.0,29.0,0.0,7.0,thueringen,T
